date,export,import,diff
2022-03-01,"₩63,786,835 ","₩63,811,102 ","(₩24,267)"
2022-04-01,"₩57,842,816 ","₩60,213,185 ","(₩2,370,369)"
2022-05-01,"₩61,591,326 ","₩63,168,380 ","(₩1,577,054)"
2022-06-01,"₩57,679,934 ","₩60,149,906 ","(₩2,469,972)"
2022-07-01,"₩60,241,774 ","₩65,259,838 ","(₩5,018,064)"
2022-08-01,"₩56,605,950 ","₩66,027,733 ","(₩9,421,783)"
2022-09-01,"₩57,176,300 ","₩61,012,837 ","(₩3,836,537)"
2022-10-01,"₩52,428,092 ","₩59,167,185 ","(₩6,739,093)"
2022-11-01,"₩51,771,855 ","₩58,847,655 ","(₩7,075,800)"
2022-12-01,"₩54,848,666 ","₩59,623,062 ","(₩4,774,396)"
2023-01-01,"₩46,339,145 ","₩59,037,259 ","(₩12,698,114)"
2023-02-01,"₩49,994,593 ","₩55,370,498 ","(₩5,375,905)"
2023-03-01,"₩54,882,484 ","₩59,635,920 ","(₩4,753,436)"
2023-04-01,"₩49,430,879 ","₩51,940,137 ","(₩2,509,258)"
2023-05-01,"₩52,054,195 ","₩54,251,194 ","(₩2,196,999)"
2023-06-01,"₩54,297,754 ","₩53,055,480 ","₩1,242,274 "
2023-07-01,"₩50,457,776 ","₩48,738,114 ","₩1,719,662 "
2023-08-01,"₩51,994,074 ","₩51,009,758 ","₩984,316 "
2023-09-01,"₩54,650,691 ","₩50,972,525 ","₩3,678,166 "
2023-10-01,"₩54,989,950 ","₩53,440,582 ","₩1,549,368 "
2023-11-01,"₩55,561,090 ","₩51,997,805 ","₩3,563,285 "
2023-12-01,"₩57,573,193 ","₩53,122,854 ","₩4,450,339 "
2024-01-01,"₩54,759,524 ","₩54,455,034 ","₩304,490 "
2024-02-01,"₩52,105,057 ","₩48,189,660 ","₩3,915,397 "
2024-03-01,"₩56,519,374 ","₩52,381,326 ","₩4,138,048 "
2024-04-01,"₩56,151,037 ","₩54,766,762 ","₩1,384,275 "
2024-05-01,"₩58,017,487 ","₩53,140,447 ","₩4,877,040 "
2024-06-01,"₩57,342,402 ","₩49,071,863 ","₩8,270,539 "
2024-07-01,"₩57,464,126 ","₩53,848,190 ","₩3,615,936 "
2024-08-01,"₩57,646,102 ","₩54,060,473 ","₩3,585,629 "
2024-09-01,"₩58,553,616 ","₩52,123,160 ","₩6,430,456 "
2024-10-01,"₩57,505,934 ","₩54,333,434 ","₩3,172,500 "
2024-11-01,"₩56,321,226 ","₩50,734,851 ","₩5,586,375 "
2024-12-01,,,
2025-01-01,,,₩0 
2025-02-01,,,₩0 
2025-03-01,,,₩0 
2025-04-01,,,₩0 
2025-05-01,,,₩0 
2025-06-01,,,₩0 
2025-07-01,,,₩0 
2025-08-01,,,₩0 
2025-09-01,,,₩0 
2025-10-01,,,₩0 
2025-11-01,,,₩0 
2025-12-01,,,₩0 
2026-01-01,,,₩0 
2026-02-01,,,₩0 
2026-03-01,,,₩0 
2026-04-01,,,₩0 
2026-05-01,,,₩0 
2026-06-01,,,₩0 
2026-07-01,,,₩0 
